Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-03-13 09:30:00-04:00,382.2900085449219,382.2900085449219,382.0400085449219,382.04998779296875,12739010,0.0,0.0,0.0
2023-03-13 09:31:00-04:00,382.04998779296875,382.25,381.25,382.1099853515625,964899,0.0,0.0,0.0
2023-03-13 09:32:00-04:00,382.1199951171875,382.3599853515625,381.4700012207031,381.9599914550781,914692,0.0,0.0,0.0
2023-03-13 09:33:00-04:00,382.2900085449219,382.2900085449219,382.2699890136719,382.2699890136719,875766,0.0,0.0,0.0
2023-03-13 09:34:00-04:00,381.7200012207031,381.7200012207031,381.6700134277344,381.7099914550781,702955,0.0,0.0,0.0
2023-03-13 09:35:00-04:00,381.19000244140625,381.2799987792969,381.19000244140625,381.2799987792969,890902,0.0,0.0,0.0
2023-03-13 09:36:00-04:00,381.29998779296875,381.8299865722656,381.19000244140625,381.489990234375,836387,0.0,0.0,0.0
2023-03-13 09:37:00-04:00,381.4700012207031,381.4849853515625,381.1300048828125,381.260009765625,790372,0.0,0.0,0.0
2023-03-13 09:38:00-04:00,381.2200012207031,381.2300109863281,380.6499938964844,380.8999938964844,1361446,0.0,0.0,0.0
2023-03-13 09:39:00-04:00,381.5799865722656,381.6029052734375,381.57000732421875,381.57000732421875,736126,0.0,0.0,0.0
2023-03-13 09:40:00-04:00,381.5899963378906,382.010009765625,381.2900085449219,381.5899963378906,950372,0.0,0.0,0.0
2023-03-13 09:41:00-04:00,381.57501220703125,381.6199951171875,380.79998779296875,381.0199890136719,660750,0.0,0.0,0.0
2023-03-13 09:42:00-04:00,381.010009765625,381.3500061035156,380.67999267578125,381.3399963378906,658088,0.0,0.0,0.0
2023-03-13 09:43:00-04:00,381.1199951171875,381.1199951171875,381.1199951171875,381.1199951171875,473460,0.0,0.0,0.0
2023-03-13 09:44:00-04:00,381.3290100097656,381.3399963378906,381.32000732421875,381.3399963378906,575923,0.0,0.0,0.0
2023-03-13 09:45:00-04:00,381.3599853515625,381.8299865722656,381.0885925292969,381.760009765625,750231,0.0,0.0,0.0
2023-03-13 09:46:00-04:00,381.7349853515625,381.7349853515625,381.1600036621094,381.6199951171875,667435,0.0,0.0,0.0
2023-03-13 09:47:00-04:00,383.0799865722656,383.2900085449219,383.0564880371094,383.2799987792969,1124913,0.0,0.0,0.0
2023-03-13 09:48:00-04:00,383.2699890136719,384.1099853515625,382.8299865722656,383.95001220703125,1070308,0.0,0.0,0.0
2023-03-13 09:49:00-04:00,383.9700012207031,384.4400939941406,383.8500061035156,384.1307067871094,716009,0.0,0.0,0.0
2023-03-13 09:50:00-04:00,384.1300048828125,385.3699951171875,384.07000732421875,385.0600891113281,978257,0.0,0.0,0.0
2023-03-13 09:51:00-04:00,385.0799865722656,385.30999755859375,384.69000244140625,385.1000061035156,608017,0.0,0.0,0.0
2023-03-13 09:52:00-04:00,385.1199951171875,385.32000732421875,384.7099914550781,384.79998779296875,655809,0.0,0.0,0.0
2023-03-13 09:53:00-04:00,384.0,384.0400085449219,384.0,384.0299987792969,666716,0.0,0.0,0.0
2023-03-13 09:54:00-04:00,384.0400085449219,385.0,383.95001220703125,384.80999755859375,468003,0.0,0.0,0.0
2023-03-13 09:55:00-04:00,385.04998779296875,385.1099853515625,385.04998779296875,385.1000061035156,547142,0.0,0.0,0.0
2023-03-13 09:56:00-04:00,385.1099853515625,385.6499938964844,384.8439025878906,385.57000732421875,635360,0.0,0.0,0.0
2023-03-13 09:57:00-04:00,385.57000732421875,385.9299011230469,385.4100036621094,385.6199951171875,567286,0.0,0.0,0.0
2023-03-13 09:58:00-04:00,386.0400085449219,386.0799865722656,386.0,386.0299987792969,715735,0.0,0.0,0.0
2023-03-13 09:59:00-04:00,386.0299987792969,386.1300048828125,385.4200134277344,385.55999755859375,558267,0.0,0.0,0.0
2023-03-13 10:00:00-04:00,385.54998779296875,385.6600036621094,384.989990234375,385.25,548307,0.0,0.0,0.0
2023-03-13 10:01:00-04:00,384.9700012207031,385.0000915527344,384.9700012207031,384.9706115722656,510719,0.0,0.0,0.0
2023-03-13 10:02:00-04:00,384.9700012207031,385.5799865722656,384.760009765625,384.9200134277344,478553,0.0,0.0,0.0
2023-03-13 10:03:00-04:00,384.8999938964844,385.9700012207031,384.8399963378906,385.760009765625,426785,0.0,0.0,0.0
2023-03-13 10:04:00-04:00,385.7799987792969,386.1499938964844,385.5199890136719,385.6400146484375,480525,0.0,0.0,0.0
2023-03-13 10:05:00-04:00,385.29998779296875,385.8699951171875,385.1700134277344,385.29998779296875,362476,0.0,0.0,0.0
2023-03-13 10:06:00-04:00,385.2799987792969,385.6199951171875,384.989990234375,385.42999267578125,397047,0.0,0.0,0.0
2023-03-13 10:07:00-04:00,386.25,386.3500061035156,386.239990234375,386.32000732421875,938142,0.0,0.0,0.0
2023-03-13 10:08:00-04:00,386.7699890136719,387.30999755859375,386.20001220703125,386.7699890136719,1004613,0.0,0.0,0.0
2023-03-13 10:09:00-04:00,386.7699890136719,386.7799987792969,386.1099853515625,386.3800048828125,268935,0.0,0.0,0.0
2023-03-13 10:10:00-04:00,386.4700012207031,386.4700012207031,386.4100036621094,386.4100036621094,381086,0.0,0.0,0.0
2023-03-13 10:11:00-04:00,386.4100036621094,386.4219970703125,385.8118896484375,386.07000732421875,616121,0.0,0.0,0.0
2023-03-13 10:12:00-04:00,386.07000732421875,386.2799987792969,385.07000732421875,385.32000732421875,586032,0.0,0.0,0.0
2023-03-13 10:13:00-04:00,385.3399963378906,385.4700012207031,384.7900085449219,385.3800048828125,580909,0.0,0.0,0.0
2023-03-13 10:14:00-04:00,385.3800048828125,385.5299987792969,385.1000061035156,385.29998779296875,256914,0.0,0.0,0.0
2023-03-13 10:15:00-04:00,384.7349853515625,384.7349853515625,384.7349853515625,384.7349853515625,636262,0.0,0.0,0.0
2023-03-13 10:16:00-04:00,384.75,385.1300048828125,384.2200012207031,384.5299987792969,525762,0.0,0.0,0.0
2023-03-13 10:17:00-04:00,384.6000061035156,384.7099914550781,384.20001220703125,384.54998779296875,400401,0.0,0.0,0.0
2023-03-13 10:18:00-04:00,384.510009765625,385.25,384.3500061035156,384.739990234375,353936,0.0,0.0,0.0
2023-03-13 10:19:00-04:00,384.7699890136719,384.7799987792969,384.1400146484375,384.3599853515625,429695,0.0,0.0,0.0
2023-03-13 10:20:00-04:00,384.3599853515625,384.6400146484375,383.9599914550781,384.6199951171875,368376,0.0,0.0,0.0
2023-03-13 10:21:00-04:00,384.6199951171875,385.1600036621094,384.30999755859375,384.30999755859375,342014,0.0,0.0,0.0
2023-03-13 10:22:00-04:00,384.32000732421875,385.54998779296875,384.25,385.1000061035156,379003,0.0,0.0,0.0
2023-03-13 10:23:00-04:00,385.0899963378906,385.19000244140625,384.1600036621094,384.1700134277344,365346,0.0,0.0,0.0
2023-03-13 10:24:00-04:00,384.19000244140625,384.54998779296875,384.010009765625,384.3999938964844,348197,0.0,0.0,0.0
2023-03-13 10:25:00-04:00,383.9700012207031,384.010009765625,383.9700012207031,384.0,324566,0.0,0.0,0.0
2023-03-13 10:26:00-04:00,384.55499267578125,384.8900146484375,383.7900085449219,384.55499267578125,409601,0.0,0.0,0.0
2023-03-13 10:27:00-04:00,384.18499755859375,384.18499755859375,384.17999267578125,384.17999267578125,342010,0.0,0.0,0.0
2023-03-13 10:28:00-04:00,384.19000244140625,384.510009765625,384.1099853515625,384.17999267578125,219686,0.0,0.0,0.0
2023-03-13 10:29:00-04:00,384.2099914550781,384.3299865722656,383.6499938964844,383.94000244140625,637479,0.0,0.0,0.0
2023-03-13 10:30:00-04:00,383.9800109863281,384.95001220703125,383.9700012207031,384.57501220703125,447976,0.0,0.0,0.0
2023-03-13 10:31:00-04:00,384.5199890136719,384.69000244140625,383.8900146484375,384.4200134277344,248760,0.0,0.0,0.0
2023-03-13 10:32:00-04:00,385.6099853515625,385.6199951171875,385.55999755859375,385.55999755859375,359520,0.0,0.0,0.0
2023-03-13 10:33:00-04:00,385.5400085449219,386.1050109863281,385.3800048828125,385.8999938964844,473883,0.0,0.0,0.0
2023-03-13 10:34:00-04:00,385.8800048828125,386.1099853515625,385.4200134277344,385.9818115234375,444169,0.0,0.0,0.0
2023-03-13 10:35:00-04:00,386.0,386.0,385.94000244140625,385.94000244140625,374156,0.0,0.0,0.0
2023-03-13 10:36:00-04:00,385.9200134277344,386.1099853515625,385.29998779296875,385.4599914550781,265227,0.0,0.0,0.0
2023-03-13 10:37:00-04:00,385.4800109863281,385.7699890136719,385.05999755859375,385.5849914550781,256549,0.0,0.0,0.0
2023-03-13 10:38:00-04:00,385.1499938964844,385.6400146484375,384.80999755859375,385.1499938964844,508440,0.0,0.0,0.0
2023-03-13 10:39:00-04:00,385.17999267578125,385.95001220703125,385.1400146484375,385.6300048828125,994013,0.0,0.0,0.0
2023-03-13 10:40:00-04:00,385.6099853515625,385.6300048828125,385.6000061035156,385.6000061035156,265069,0.0,0.0,0.0
2023-03-13 10:41:00-04:00,385.125,385.1300048828125,385.125,385.1300048828125,238828,0.0,0.0,0.0
2023-03-13 10:42:00-04:00,385.1300048828125,385.1600036621094,384.6499938964844,384.9599914550781,367658,0.0,0.0,0.0
2023-03-13 10:43:00-04:00,384.94000244140625,385.3800048828125,384.69000244140625,385.375,468309,0.0,0.0,0.0
2023-03-13 10:44:00-04:00,385.375,386.1400146484375,385.375,385.8299865722656,839241,0.0,0.0,0.0
2023-03-13 10:45:00-04:00,386.25,386.2699890136719,386.25,386.2699890136719,338213,0.0,0.0,0.0
2023-03-13 10:46:00-04:00,386.2699890136719,386.4700012207031,386.0299987792969,386.1700134277344,447993,0.0,0.0,0.0
2023-03-13 10:47:00-04:00,386.5,386.5299987792969,386.45001220703125,386.4700927734375,875528,0.0,0.0,0.0
2023-03-13 10:48:00-04:00,386.510009765625,386.6000061035156,386.1199951171875,386.489990234375,651589,0.0,0.0,0.0
2023-03-13 10:49:00-04:00,386.510009765625,386.57000732421875,385.8699951171875,386.1600036621094,260082,0.0,0.0,0.0
2023-03-13 10:50:00-04:00,386.1700134277344,386.41009521484375,385.20001220703125,385.2799987792969,457865,0.0,0.0,0.0
2023-03-13 10:51:00-04:00,385.2799987792969,385.6600036621094,385.125,385.32000732421875,362295,0.0,0.0,0.0
2023-03-13 10:52:00-04:00,384.7200012207031,384.7200012207031,384.7200012207031,384.7200012207031,583750,0.0,0.0,0.0
2023-03-13 10:53:00-04:00,384.7099914550781,385.1499938964844,384.510009765625,385.0050048828125,262413,0.0,0.0,0.0
2023-03-13 10:54:00-04:00,385.0400085449219,385.4200134277344,384.6300048828125,385.3500061035156,155648,0.0,0.0,0.0
2023-03-13 10:55:00-04:00,385.44000244140625,386.94000244140625,385.3399963378906,386.6099853515625,584751,0.0,0.0,0.0
2023-03-13 10:56:00-04:00,386.57000732421875,387.54998779296875,386.5199890136719,387.42999267578125,679094,0.0,0.0,0.0
2023-03-13 10:57:00-04:00,387.4200134277344,387.79998779296875,387.05999755859375,387.4800109863281,455108,0.0,0.0,0.0
2023-03-13 10:58:00-04:00,387.4649963378906,387.8399963378906,387.375,387.6700134277344,350066,0.0,0.0,0.0
2023-03-13 10:59:00-04:00,387.67999267578125,387.8500061035156,387.6000061035156,387.70001220703125,302262,0.0,0.0,0.0
2023-03-13 11:00:00-04:00,387.7200012207031,387.92999267578125,387.19000244140625,387.3999938964844,343678,0.0,0.0,0.0
2023-03-13 11:01:00-04:00,387.4800109863281,387.7998962402344,387.3599853515625,387.55999755859375,221223,0.0,0.0,0.0
2023-03-13 11:02:00-04:00,388.69000244140625,388.69000244140625,388.6549987792969,388.6899108886719,725577,0.0,0.0,0.0
2023-03-13 11:03:00-04:00,388.6600036621094,388.8299865722656,388.17999267578125,388.32501220703125,448549,0.0,0.0,0.0
2023-03-13 11:04:00-04:00,388.32000732421875,388.45001220703125,387.79998779296875,387.82000732421875,333993,0.0,0.0,0.0
2023-03-13 11:05:00-04:00,387.8399963378906,388.1000061035156,387.69000244140625,388.05499267578125,214871,0.0,0.0,0.0
2023-03-13 11:06:00-04:00,388.0679931640625,388.20001220703125,387.4200134277344,387.4800109863281,334664,0.0,0.0,0.0
2023-03-13 11:07:00-04:00,387.4800109863281,387.7300109863281,387.1199951171875,387.5,358470,0.0,0.0,0.0
2023-03-13 11:08:00-04:00,387.489990234375,388.2799987792969,387.30999755859375,388.1400146484375,252309,0.0,0.0,0.0
2023-03-13 11:09:00-04:00,388.1300048828125,388.1600036621094,387.5400085449219,387.6700134277344,534771,0.0,0.0,0.0
2023-03-13 11:10:00-04:00,388.0400085449219,388.0400085449219,388.0400085449219,388.0400085449219,208575,0.0,0.0,0.0
2023-03-13 11:11:00-04:00,388.04998779296875,388.6199035644531,388.0199890136719,388.19000244140625,635665,0.0,0.0,0.0
2023-03-13 11:12:00-04:00,388.6499938964844,389.32000732421875,388.1099853515625,388.6499938964844,461925,0.0,0.0,0.0
2023-03-13 11:13:00-04:00,387.9700012207031,388.0199890136719,387.9700012207031,388.0,278263,0.0,0.0,0.0
2023-03-13 11:14:00-04:00,388.0,388.3800048828125,387.8800048828125,388.0899963378906,207325,0.0,0.0,0.0
2023-03-13 11:15:00-04:00,388.1099853515625,388.8399963378906,388.07000732421875,388.70001220703125,473670,0.0,0.0,0.0
2023-03-13 11:16:00-04:00,388.760009765625,388.9599914550781,388.54998779296875,388.6650085449219,307706,0.0,0.0,0.0
